batch_id,pair_id,repeat_id,user_profile,room_id,room_type,member_count,crypto_mode,room_creation_ms,add_members_ms,session_setup_ms,message_encrypt_ms,message_encrypt_pure_ms,message_decrypt_ms,total_setup_ms,setup_time_ms,rotation_time_ms,encrypt_steady_state_ms,device_type,architecture,cpu_cores,cpu_freq_mhz,rotation_policy,actual_rotations,kem_handshake_bytes,olm_session_bytes,megolm_session_bytes,message_overhead_bytes,total_bandwidth_bytes,num_ratchet_advances,num_asymmetric_advances,num_rotation_messages,bandwidth_agreement,bandwidth_agreement_classical,bandwidth_agreement_pqc,bandwidth_initial_distribution,bandwidth_initial_distribution_classical,bandwidth_initial_distribution_pqc,bandwidth_rotation,bandwidth_rotation_classical,bandwidth_rotation_pqc,bandwidth_megolm_messages,bandwidth_control_plane,bandwidth_data_plane,bandwidth_agreement_primitives_identity_keys,bandwidth_agreement_primitives_otk,bandwidth_agreement_primitives_kyber1024,bandwidth_agreement_primitives_prekey_overhead,bandwidth_initial_distribution_primitives_megolm_key,bandwidth_initial_distribution_primitives_ratchet_key,bandwidth_initial_distribution_primitives_kem_ct,bandwidth_initial_distribution_primitives_olm_overhead,bandwidth_rotation_primitives_megolm_key,bandwidth_rotation_primitives_ratchet_key,bandwidth_rotation_primitives_kem_ct,bandwidth_rotation_primitives_olm_overhead
20260201_124053,pair_0,0,@alice:matrix.org,!large:matrix.org,LargeChannel,150,Classical,0.000441,4.592382,58.537205,2.4641227552,2.1188703896,1.046365032,63.130028,58.537205,581.658700999999,2.1188703896,Desktop,x86_64,8,3845,Paranoid,50,14304,98936,4946800,523157492,1056435064,0,0,7450,16449,16449,0,98936,98936,0,4946800,4946800,0,523157492,5060040,523157492,9536,4768,0,2145,45892,0,0,0,2294600,0,0,0
20260201_124053,pair_0,1,@alice:matrix.org,!dm_1:matrix.org,DM,2,Hybrid,0.000745,0.767833,3.051526,0.362917446,0.22633783,0.123343996,3.8201039999999997,3.051526,9.552274,0.22633783,Desktop,x86_64,8,3523,Paranoid,20,6254,2336,46720,20670592,41451804,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,20670592,53865,20670592,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_0,1,@alice:matrix.org,!dm_2:matrix.org,DM,2,Hybrid,0.000593,0.569183,1.8299569999999998,0.23373388,0.258801262,0.191606308,2.399733,1.8299569999999998,5.617152999999999,0.258801262,Desktop,x86_64,8,3339,Paranoid,20,6253,2336,46720,20670592,41451802,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,20670592,53864,20670592,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_0,1,@alice:matrix.org,!dm_3:matrix.org,DM,2,Hybrid,0.00054,0.484421,1.70496,0.341666716,0.31722223,0.148845784,2.189921,1.70496,8.497485,0.31722223,Desktop,x86_64,8,2871,Paranoid,20,6254,2336,46720,20670592,41451804,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,20670592,53865,20670592,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_0,1,@alice:matrix.org,!dm_4:matrix.org,DM,2,Hybrid,0.001325,0.483591,1.914776,0.258188322,0.236953822,0.20409115,2.399692,1.914776,6.122643,0.236953822,Desktop,x86_64,8,2526,Paranoid,20,6254,2336,46720,20670592,41451804,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,20670592,53865,20670592,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_0,1,@alice:matrix.org,!dm_5:matrix.org,DM,2,Hybrid,0.000901,0.891832,3.026374,0.366331162,0.20944585200000002,0.116144284,3.9191070000000003,3.026374,11.109675,0.20944585200000002,Desktop,x86_64,8,2970,Paranoid,20,6254,2336,46720,20670592,41451804,21,20,20,2684,110,2573,2336,498,1227,46720,9960,24540,20670592,53865,20670592,64,32,2238,350,308,1219,0,809,6160,24380,0,16180
20260201_124053,pair_0,1,@alice:matrix.org,!small_1:matrix.org,SmallGroup,7,Hybrid,0.000365,1.1234140000000001,7.4474290000000005,0.2889179,0.27667648933333333,0.126831428,8.571208,7.4474290000000005,36.43544900000001,0.27667648933333333,Desktop,x86_64,8,1552,Paranoid,30,37518,14016,420480,36556432,74056892,186,180,180,16104,662,15441,14016,2988,7362,420480,89640,220860,36556432,463350,36556432,384,192,13428,2100,1848,7314,0,4854,55440,219420,0,145620
20260201_124053,pair_0,1,@alice:matrix.org,!small_2:matrix.org,SmallGroup,7,Hybrid,0.0006360000000000001,1.195235,7.822463999999999,0.28818352133333336,0.242869684,0.12982075733333334,9.018334999999999,7.822463999999999,36.11393300000002,0.242869684,Desktop,x86_64,8,785,Paranoid,30,37518,14016,420480,36556432,74056892,186,180,180,16104,662,15441,14016,2988,7362,420480,89640,220860,36556432,463350,36556432,384,192,13428,2100,1848,7314,0,4854,55440,219420,0,145620
20260201_124053,pair_0,1,@alice:matrix.org,!small_3:matrix.org,SmallGroup,7,Hybrid,0.000424,1.1032030000000002,7.419822000000001,0.2878007786666667,0.244747828,0.130266976,8.523449000000001,7.419822000000001,35.99236900000001,0.244747828,Desktop,x86_64,8,1118,Paranoid,30,37520,14016,420480,36556432,74056896,186,180,180,16104,662,15441,14016,2988,7362,420480,89640,220860,36556432,463350,36556432,384,192,13428,2100,1848,7314,0,4854,55440,219420,0,145620
20260201_124053,pair_0,1,@alice:matrix.org,!medium_1:matrix.org,MediumGroup,25,Hybrid,0.000342,3.9721230000000003,30.642506,1.429766355,1.273872556,0.579135323,34.614971000000004,30.642506,181.61520899999996,1.273872556,Desktop,x86_64,8,400,Paranoid,40,150080,56064,2242560,259748968,524395344,984,960,960,64418,2649,61768,56064,11952,29448,2242560,478080,1177920,259748968,2414040,259748968,1536,768,53712,8402,7392,29256,0,19416,295680,1170240,0,776640
